,Unnamed: 0,business_name,Street,Town,Cases,Address,lon,lat,town_pop,Distance
0,0,Apothca (All),99 Development Rd,Fitchburg,0,99+Development+Rd+Fitchburg+MA,-71.859526,42.551172,40318,88
1,1,Garden Remedies - ALL,307 Airport Road,Fitchburg,0,307+Airport+Road+Fitchburg+MA,-71.7694767,42.561801,40318,81
2,2,Apotho Therapeutics,119 Washington St,Plainville,0,119+Washington+St+Plainville+MA,-71.3167914,42.0172326,8264,117
3,3,Alternative Compassion Services,693 Elm St,Bridgewater,0,693+Elm+St+Bridgewater+MA,-71.0215007,41.9862199,26563,95.6
4,4,b\well,220 Commercial Street,Provincetown,0,220+Commercial+Street+Provincetown+MA,-70.1886415,42.0496674,2942,234
5,5,Happy Valley,38 Great Republic Drive,Gloucester,0,38+Great+Republic+Drive+Gloucester+MA,-70.645259,42.628566,28789,47.9
6,6,Alternative Therapies Group (Salem),50 Grove Street,Salem,0,50+Grove+Street+Salem+MA,-70.9109784,42.5224162,41340,30.9
7,7,Ascend Wellness,272 Friend Street,Boston,0,272+Friend+Street+Boston+MA,-71.0615132,42.3646296,617594,48.4
8,8,Alternative Therapies Group (Amesbury),49 Macy Street,Amesbury,0,49+Macy+Street+Amesbury+MA,-70.9228679,42.8457306,16283,20
9,9,Alternative Therapies Group (Salisbury),107 Elm Street,Salisbury,0,107+Elm+Street+Salisbury+MA,-70.8791167,42.8437636,8283,21
10,10,Bask,2 Pequod Rd,Fairhaven,0,2+Pequod+Rd+Fairhaven+MA,-70.8887655,41.6496377,15873,143
11,11,Bloom Brothers,2 Larch St,Pittsfield,0,2+Larch+St+Pittsfield+MA,-73.2100842,42.4586666,44737,270
12,12,The Botanist (Shrewsbury),235 Hartford Turnpike,Shrewsbury,0,235+Hartford+Turnpike+Shrewsbury+MA,-71.7207734,42.2492091,35608,96.3
13,13,The Botanist (Worcester),65 Pullman Street,Worcester,0,65+Pullman+Street+Worcester+MA,-71.7988989,42.3238808,181045,100
14,14,Buds & Roses,199 Main St,Blackstone,0,199+Main+St+Blackstone+MA,-71.5424661,42.0172513,9026,131
15,15,Campfire Cannabis,65 West Boylston Street,W Boylston,0,65+West+Boylston+Street+W+Boylston+MA,-71.7834089,42.3586426,0,95
16,16,Cannabis Connection,40 Westfield Industrial Park Rd,Westfield,0,40+Westfield+Industrial+Park+Rd+Westfield+MA,-72.729157,42.141921,41094,200
17,17,Canna Provisions - Holyoke,380 Dwight Street,Holyoke,0,380+Dwight+Street+Holyoke+MA,-72.6045718,42.2047079,39880,191
18,18,Canna Vana,256 Weymouth Street,Rockland,0,256+Weymouth+Street+Rockland+MA,-70.9106301,42.1608796,17489,80.3
19,19,Cape Ann Cannabis,300 Newburyport Turnpike,Rowley,0,300+Newburyport+Turnpike+Rowley+MA,-70.9077273,42.7130673,5856,8.2
20,20,Cape Cod Cannabis,1446 State Hwy Route 6,Welfleet,0,1446+State+Hwy+Route+6+Welfleet+MA,-69.9883627,41.9162662,0,206
21,21,Caroline's Cannabis,640 Douglas Street,Uxbridge,0,640+Douglas+Street+Uxbridge+MA,-71.6695137,42.0631611,13457,136
22,22,CNA,558 River St,Haverhill,0,558+River+St+Haverhill+MA,-71.1027485,42.7645808,60879,15.3
23,23,Cultivate, 612 Douglas St,Uxbridge,0,#NAME?,-71.6631319,42.0617448,13457,136
24,24,DDM,1 Lloyd St,Blackstone,0,1+Lloyd+St+Blackstone+MA,-71.4994572,42.0193642,9026,127
25,25,Elevated Roots,44 William C Gould Jr Way,Kingston,30,44+William+C+Gould+Jr+Way+Kingston+MA,-70.706346,41.9721483,12629,107
26,26,Ermont,216 Ricciuti Dr,Quincy,0,216+Ricciuti+Dr+Quincy+MA,-71.0413267,42.2396655,92271,64.6
27,27,Farnsworth Fine Cannabis,126 Main St,Great Barrington,0,126+Main+St+Great+Barrington+MA,-73.3603351,42.1994697,7104,266
28,28,Fine Fettle,116 Newburyport Turnpike,Rowley,15,116+Newburyport+Turnpike+Rowley+MA,-70.91114,42.7007649,5856,7.8
29,29,Full Harvest Moonz,95 Plaistow Rd,Haverhill,0,95+Plaistow+Rd+Haverhill+MA,-71.1018665,42.8144137,60879,18.6
30,30,Garden Remedies - Marlboro,416 Boston Post Rd E,Marlboro,38,416+Boston+Post+Rd+E+Marlboro+MA,-71.5133227,42.3487498,0,83.7
31,31,Garden Remedies - Melrose,732 Newburyport Turnpike,Melrose,47,732+Newburyport+Turnpike+Melrose+MA,-71.0286976,42.4451022,26983,34.5
32,32,Garden Remedies - Newton,697 Washington St,Newton,71,697+Washington+St+Newton+MA,-71.2021966,42.3529253,85146,62.1
33,33,Garden Wonders,1 Buxton St,Milville,0,1+Buxton+St+Milville+MA,-71.5908476,42.0140618,0,144
34,34,Green 4 All,327 N Pearl St,Brockton,0,327+N+Pearl+St+Brockton+MA,-71.0665604,42.1004833,93810,84.2
35,35,Green Meadows,64 Mill St,Southbridge,0,64+Mill+St+Southbridge+MA,-72.0436951,42.082371,16719,147
36,36,Green Star - Dracut,19 School St,Dracut,0,19+School+St+Dracut+MA,-71.324354,42.6645254,29457,37.8
37,37,Green Star - Maynard,24 Main St,Maynard,0,24+Main+St+Maynard+MA,-71.450808,42.4317992,10106,74.2
38,38,Health Circle,21 Commerce Rd,Rockland,21,21+Commerce+Rd+Rockland+MA,-70.9023862,42.1647651,17489,79.3
39,39,Heirloom Collective,457 Russell St,Hadley,0,457+Russell+St+Hadley+MA,-72.5371895,42.3643799,5250,159
40,40,The Hempist,2 Conz St,Northampton,0,2+Conz+St+Northampton+MA,-72.6307319,42.3161373,28549,212
41,41,In Good Health,"1200 W Chestnut St,",Brockton,0,"1200+W+Chestnut+St,+Brockton+MA",-71.0651908,42.0525823,93810,88.1
42,42,INSA (Easthampton),"122 Pleasant Street, Suite 144",Eathampton,0,"122+Pleasant+Street,+Suite+144+Eathampton+MA",-72.662218,42.273327,0,208
43,43,INSA (Salem),462 Highland Ave,Salem,0,462+Highland+Ave+Salem+MA,-70.9348267,42.4929904,41340,34.5
44,44,Lazy River,149 Broadway Rd,Dracut,0,149+Broadway+Rd+Dracut+MA,-71.2939682,42.6753357,29457,37.6
45,45,Major Bloom,76 Millbury Street,Worcester,0,76+Millbury+Street+Worcester+MA,-71.7990941,42.2533267,181045,99.9
46,46,Middlesex Integrative Medicine,76 Astor Ave,Norwood,0,76+Astor+Ave+Norwood+MA,-71.1910629,42.1696662,28602,89.1
47,47,Mission Georgetown,401 East Main Street,Georgetown,0,401+East+Main+Street+Georgetown+MA,-70.9619244,42.7064457,8183,3.2
48,48,Mission Worcester,640 Lincoln Street,Worcester,24,640+Lincoln+Street+Worcester+MA,-71.7650283,42.2991486,181045,93.2
49,49,Native Sun,37 Coolidge St,Hudson,0,37+Coolidge+St+Hudson+MA,-71.5930754,42.3969557,19063,72.9
50,50,Nature’s Remedy (Millbury),266 North Main Street,Millbury,0,266+North+Main+Street+Millbury+MA,-71.7773189,42.206379,13261,117
51,51,Nature's Remedy (Tyngsborough),420 Middlesex Road,Tyngsborough,0,420+Middlesex+Road+Tyngsborough+MA,-71.4373855,42.6951332,11292,53.9
52,52,Northeast Alternatives,999 William S Canning Blvd,Fall River,0,999+William+S+Canning+Blvd+Fall+River+MA,-71.1571521,41.6655455,88857,136
53,53,Panacea Wellness,177 John Verente Blvd,New Bedford,0,177+John+Verente+Blvd+New+Bedford+MA,-70.9651452,41.7271741,95072,136
54,54,The Pass,1375 N Main Street,Sheffield,0,1375+N+Main+Street+Sheffield+MA,-73.3633631,42.1426463,3257,273
55,55,Pure Oasis,430 Blue Hill Avenue,Dorchester,0,430+Blue+Hill+Avenue+Dorchester+MA,-71.0819784,42.310067,0,54.6
56,56,Patriot Care Lowell,70 Industrial Ave E,Lowell,0,70+Industrial+Ave+E+Lowell+MA,-71.3166522,42.614669,106519,37.7
57,57,Patriot Care Greenfield,7 Legion Ave,Greenfield,0,7+Legion+Ave+Greenfield+MA,-72.6042597,42.589177,17456,159
58,58,Rebelle,783 S Main St,Great Barrington,0,783+S+Main+St+Great+Barrington+MA,-73.3628796,42.1791367,7104,269
59,59,Redi,24 Elliot Street,Newton,0,24+Elliot+Street+Newton+MA,-71.2125693,42.3179196,85146,71.3
60,60,Resinate (Northampton),110 Pleasant Street,Northampton,0,110+Pleasant+Street+Northampton+MA,-72.6278907,42.3186646,28549,212
61,61,Resinate (Worcester),1191 Millbury Street,Worcester,0,1191+Millbury+Street+Worcester+MA,-71.7835163,42.221088,181045,117
62,62,Rev Clinics,110 Fawcett Street,Cambridge,0,110+Fawcett+Street+Cambridge+MA,-71.1462209,42.3929444,105162,56.5
63,63,RISE,169 Meadow Street,Amherst,0,169+Meadow+Street+Amherst+MA,-72.539477,42.4087279,37819,155
64,64,Seagrass,3 Dodge Street,Salem,0,3+Dodge+Street+Salem+MA,-70.8938867,42.5187288,41340,29.2
65,65,STEM,124 Washington Street,Haverhill,0,124+Washington+Street+Haverhill+MA,-71.0857831,42.7725853,60879,13.9
66,66,Sunnyside,1 West St,Fall River,0,1+West+St+Fall+River+MA,-71.14578,41.7277759,88857,127
67,67,Tuning Leaf,261 King St,Northampton,0,261+King+St+Northampton+MA,-72.6339194,42.3313874,28549,217
68,68,United Cultivation,601 Fitchburg State Rd,Ashby,0,601+Fitchburg+State+Rd+Ashby+MA,-71.7906681,42.6478263,3074,92.3
69,69,Verilife,112 Main Street,Wareham,0,112+Main+Street+Wareham+MA,-70.7131995,41.7560551,21822,136
70,70,Marimed,29 Harding Street,Middleborough,0,29+Harding+Street+Middleborough+MA,-70.9726516,41.9027688,23116,107
71,71,Central Ave Compassionate Care,31 Central Ave,Ayer,18,31+Central+Ave+Ayer+MA,-71.5837311,42.5589686,7427,61.6
