,Distance,Duration,Ad1,Ad2
0,1 m,1 min,68+Tenney+St+Georgetown+MA,68+Tenney+St+Georgetown+MA
1,233 km,2 hours 40 mins,68+Tenney+St+Georgetown+MA,220+Commercial+St+Provincetown+MA
2,224 km,2 hours 49 mins,68+Tenney+St+Georgetown+MA,238+Main+Street+Williamstow+MA
3,94.8 km,1 hour 9 mins,68+Tenney+St+Georgetown+MA,65+West+Boylston+Street+W+Boylston+MA
4,115 km,1 hour 11 mins,68+Tenney+St+Georgetown+MA,266+North+Main+Street+Millbury+MA
5,267 km,2 hours 45 mins,68+Tenney+St+Georgetown+MA,2+Larch+Street+Pittsfield+MA
6,271 km,2 hours 46 mins,68+Tenney+St+Georgetown+MA,1375+North+Main+Street+Sheffield+MA
7,81.8 km,1 hour 2 mins,68+Tenney+St+Georgetown+MA,416+Boston+Post+Road+Marlborough+MA
8,7.8 km,8 mins,68+Tenney+St+Georgetown+MA,116+Newburyport+Turnpike+Rowley+MA
9,57.2 km,39 mins,68+Tenney+St+Georgetown+MA,38+Great+Republic+Drive+Gloucester+MA
10,7.5 km,9 mins,68+Tenney+St+Georgetown+MA,300+Newburyport+Turnpike+Rowley+MA
11,32.7 km,29 mins,68+Tenney+St+Georgetown+MA,3+Dodge+Street+Salem+MA
12,117 km,1 hour 11 mins,68+Tenney+St+Georgetown+MA,5+Forge+Parkway+Franklin+MA
13,134 km,1 hour 28 mins,68+Tenney+St+Georgetown+MA,112+Main+Street+Wareham+Massachusetts
14,92.5 km,1 hour 6 mins,68+Tenney+St+Georgetown+MA,640+Lincoln+Street+Worcester+MA
15,188 km,1 hour 55 mins,68+Tenney+St+Georgetown+MA,380+Dwight+Street+Holyoke+MA
16,114 km,1 hour 16 mins,68+Tenney+St+Georgetown+MA,34+Extension+Street+Attleboro+MA
17,130 km,1 hour 25 mins,68+Tenney+St+Georgetown+MA,177+John+Verente+Blvd+New+Bedford+MA
18,99.9 km,1 hour 9 mins,68+Tenney+St+Georgetown+MA,65+Pullman+Street+Worcester+MA
19,50.8 km,41 mins,68+Tenney+St+Georgetown+MA,541+Massachusetts+Ave+Cambridge+MA
20,210 km,2 hours 2 mins,68+Tenney+St+Georgetown+MA,110+Pleasant+Street+Northampton+MA
21,133 km,1 hour 21 mins,68+Tenney+St+Georgetown+MA,640+Douglas+Street+Uxbridge+MA
22,32.6 km,28 mins,68+Tenney+St+Georgetown+MA,462+Highland+Ave+Salem+MA
23,155 km,1 hour 54 mins,68+Tenney+St+Georgetown+MA,169+Meadow+Street+Amherst+MA
