,Distance,Duration,Ad1,Ad2
0,1 m,1 min,68+Tenney+St+Georgetown+MA,68+Tenney+St+Georgetown+MA
1,115 km,1 hour 10 mins,68+Tenney+St+Georgetown+MA,266+North+Main+Street+Millbury+MA
2,99.9 km,1 hour 9 mins,68+Tenney+St+Georgetown+MA,65+Pullman+Street+Worcester+MA
3,94.8 km,1 hour 9 mins,68+Tenney+St+Georgetown+MA,65+West+Boylston+Street+W+Boylston+MA
4,81.8 km,1 hour 2 mins,68+Tenney+St+Georgetown+MA,416+Boston+Post+Road+Marlborough+MA
5,7.8 km,8 mins,68+Tenney+St+Georgetown+MA,116+Newburyport+Turnpike+Rowley+MA
6,57.2 km,39 mins,68+Tenney+St+Georgetown+MA,38+Great+Republic+Drive+Gloucester+MA
7,7.5 km,9 mins,68+Tenney+St+Georgetown+MA,300+Newburyport+Turnpike+Rowley+MA
8,31.0 km,25 mins,68+Tenney+St+Georgetown+MA,50+Grove+St+Salem+MA
9,21.2 km,16 mins,68+Tenney+St+Georgetown+MA,49+Macy+St+Amesbury+MA
10,20.9 km,15 mins,68+Tenney+St+Georgetown+MA,107+Elm+St+Salisbury+MA
11,32.7 km,29 mins,68+Tenney+St+Georgetown+MA,3+Dodge+Street+Salem+MA
12,117 km,1 hour 10 mins,68+Tenney+St+Georgetown+MA,5+Forge+Parkway+Franklin+MA
13,92.5 km,1 hour 5 mins,68+Tenney+St+Georgetown+MA,640+Lincoln+Street+Worcester+MA
14,50.8 km,42 mins,68+Tenney+St+Georgetown+MA,541+Massachusetts+Ave+Cambridge+MA
15,133 km,1 hour 20 mins,68+Tenney+St+Georgetown+MA,640+Douglas+St+Uxbridge+MA
16,32.6 km,29 mins,68+Tenney+St+Georgetown+MA,462+Highland+Ave+Salem+MA
17,59.7 km,50 mins,68+Tenney+St+Georgetown+MA,38+Littleton+Rd+Ayer+MA
18,61.6 km,51 mins,68+Tenney+St+Georgetown+MA,31+Central+Ave+Ayer+MA
19,117 km,1 hour 11 mins,266+North+Main+Street+Millbury+MA,68+Tenney+St+Georgetown+MA
20,1 m,1 min,266+North+Main+Street+Millbury+MA,266+North+Main+Street+Millbury+MA
21,16.2 km,13 mins,266+North+Main+Street+Millbury+MA,65+Pullman+Street+Worcester+MA
22,20.3 km,17 mins,266+North+Main+Street+Millbury+MA,65+West+Boylston+Street+W+Boylston+MA
23,39.2 km,32 mins,266+North+Main+Street+Millbury+MA,416+Boston+Post+Road+Marlborough+MA
24,114 km,1 hour 12 mins,266+North+Main+Street+Millbury+MA,116+Newburyport+Turnpike+Rowley+MA
25,125 km,1 hour 19 mins,266+North+Main+Street+Millbury+MA,38+Great+Republic+Drive+Gloucester+MA
26,120 km,1 hour 13 mins,266+North+Main+Street+Millbury+MA,300+Newburyport+Turnpike+Rowley+MA
27,99.2 km,1 hour 4 mins,266+North+Main+Street+Millbury+MA,50+Grove+St+Salem+MA
28,119 km,1 hour 10 mins,266+North+Main+Street+Millbury+MA,49+Macy+St+Amesbury+MA
29,122 km,1 hour 12 mins,266+North+Main+Street+Millbury+MA,107+Elm+St+Salisbury+MA
30,101 km,1 hour 9 mins,266+North+Main+Street+Millbury+MA,3+Dodge+Street+Salem+MA
31,48.4 km,31 mins,266+North+Main+Street+Millbury+MA,5+Forge+Parkway+Franklin+MA
32,15.4 km,13 mins,266+North+Main+Street+Millbury+MA,640+Lincoln+Street+Worcester+MA
33,65.0 km,44 mins,266+North+Main+Street+Millbury+MA,541+Massachusetts+Ave+Cambridge+MA
34,20.1 km,15 mins,266+North+Main+Street+Millbury+MA,640+Douglas+St+Uxbridge+MA
35,101 km,1 hour 8 mins,266+North+Main+Street+Millbury+MA,462+Highland+Ave+Salem+MA
36,57.7 km,39 mins,266+North+Main+Street+Millbury+MA,38+Littleton+Rd+Ayer+MA
37,58.6 km,39 mins,266+North+Main+Street+Millbury+MA,31+Central+Ave+Ayer+MA
38,100 km,1 hour 10 mins,65+Pullman+Street+Worcester+MA,68+Tenney+St+Georgetown+MA
39,17.2 km,14 mins,65+Pullman+Street+Worcester+MA,266+North+Main+Street+Millbury+MA
40,1 m,1 min,65+Pullman+Street+Worcester+MA,65+Pullman+Street+Worcester+MA
41,4.7 km,8 mins,65+Pullman+Street+Worcester+MA,65+West+Boylston+Street+W+Boylston+MA
42,34.3 km,29 mins,65+Pullman+Street+Worcester+MA,416+Boston+Post+Road+Marlborough+MA
43,106 km,1 hour 15 mins,65+Pullman+Street+Worcester+MA,116+Newburyport+Turnpike+Rowley+MA
44,138 km,1 hour 26 mins,65+Pullman+Street+Worcester+MA,38+Great+Republic+Drive+Gloucester+MA
45,106 km,1 hour 15 mins,65+Pullman+Street+Worcester+MA,300+Newburyport+Turnpike+Rowley+MA
46,112 km,1 hour 11 mins,65+Pullman+Street+Worcester+MA,50+Grove+St+Salem+MA
47,113 km,1 hour 7 mins,65+Pullman+Street+Worcester+MA,49+Macy+St+Amesbury+MA
48,115 km,1 hour 8 mins,65+Pullman+Street+Worcester+MA,107+Elm+St+Salisbury+MA
49,113 km,1 hour 16 mins,65+Pullman+Street+Worcester+MA,3+Dodge+Street+Salem+MA
50,60.8 km,38 mins,65+Pullman+Street+Worcester+MA,5+Forge+Parkway+Franklin+MA
51,4.6 km,7 mins,65+Pullman+Street+Worcester+MA,640+Lincoln+Street+Worcester+MA
52,78.1 km,51 mins,65+Pullman+Street+Worcester+MA,541+Massachusetts+Ave+Cambridge+MA
53,34.8 km,25 mins,65+Pullman+Street+Worcester+MA,640+Douglas+St+Uxbridge+MA
54,114 km,1 hour 15 mins,65+Pullman+Street+Worcester+MA,462+Highland+Ave+Salem+MA
55,43.1 km,30 mins,65+Pullman+Street+Worcester+MA,38+Littleton+Rd+Ayer+MA
56,44.0 km,30 mins,65+Pullman+Street+Worcester+MA,31+Central+Ave+Ayer+MA
57,95.0 km,1 hour 9 mins,65+West+Boylston+Street+W+Boylston+MA,68+Tenney+St+Georgetown+MA
58,21.4 km,18 mins,65+West+Boylston+Street+W+Boylston+MA,266+North+Main+Street+Millbury+MA
59,4.6 km,8 mins,65+West+Boylston+Street+W+Boylston+MA,65+Pullman+Street+Worcester+MA
60,1 m,1 min,65+West+Boylston+Street+W+Boylston+MA,65+West+Boylston+Street+W+Boylston+MA
61,29.8 km,30 mins,65+West+Boylston+Street+W+Boylston+MA,416+Boston+Post+Road+Marlborough+MA
62,100 km,1 hour 15 mins,65+West+Boylston+Street+W+Boylston+MA,116+Newburyport+Turnpike+Rowley+MA
