,Cel,Ach,Dre,Date
0,0,0,0,2/8/2021
1,0,0,0,2/9/2021
2,0,0,0,2/10/2021
3,0,0,0,2/11/2021
4,0,0,0,2/12/2021
5,0,0,0,2/13/2021
6,0,0,0,2/14/2021
7,0,0,0,2/15/2021
8,0,0,0,2/16/2021
9,0,0,0,2/17/2021
10,0,0,0,2/18/2021
11,0,0,558,2/19/2021
12,0,558,0,2/20/2021
13,558,0,0,2/21/2021
14,0,0,558,2/22/2021
15,0,558,0,2/23/2021
16,558,0,0,2/24/2021
17,0,0,0,2/25/2021
18,0,0,0,2/26/2021
19,0,0,0,2/27/2021
20,0,0,0,2/28/2021
21,0,0,0,3/1/2021
22,0,0,558,3/2/2021
23,0,558,0,3/3/2021
24,558,0,0,3/4/2021
25,0,0,558,3/5/2021
26,0,558,0,3/6/2021
27,558,0,0,3/7/2021
28,0,0,0,3/8/2021
29,0,0,0,3/9/2021
30,0,0,0,3/10/2021
31,0,0,0,3/11/2021
32,0,0,0,3/12/2021
33,0,0,558,3/13/2021
34,0,558,0,3/14/2021
35,558,0,0,3/15/2021
36,0,0,558,3/16/2021
37,0,558,0,3/17/2021
38,558,0,0,3/18/2021
39,0,0,0,3/19/2021
40,0,0,0,3/20/2021
41,0,0,0,3/21/2021
42,0,0,0,3/22/2021
43,0,0,0,3/23/2021
44,0,0,558,3/24/2021
45,0,558,0,3/25/2021
46,558,0,0,3/26/2021
47,0,0,558,3/27/2021
48,0,558,0,3/28/2021
49,558,0,0,3/29/2021
50,0,0,0,3/30/2021
51,0,0,0,3/31/2021
52,0,0,0,4/1/2021
53,0,0,0,4/2/2021
54,0,0,0,4/3/2021
55,0,0,558,4/4/2021
56,0,558,0,4/5/2021
57,558,0,0,4/6/2021
58,0,0,558,4/7/2021
59,0,558,0,4/8/2021
60,558,0,0,4/9/2021
61,0,0,0,4/10/2021
62,0,0,0,4/11/2021
63,0,0,0,4/12/2021
64,0,0,0,4/13/2021
65,0,0,0,4/14/2021
66,0,0,558,4/15/2021
67,0,558,0,4/16/2021
68,0,0,0,4/17/2021
69,0,0,0,4/18/2021
70,0,0,0,4/19/2021
71,0,0,0,4/20/2021
72,0,0,0,4/21/2021
73,0,0,0,4/22/2021
74,0,0,0,4/23/2021
75,0,0,0,4/24/2021
76,0,0,0,4/25/2021
77,0,0,0,4/26/2021
78,0,0,0,4/27/2021
79,0,0,0,4/28/2021
80,0,0,0,4/29/2021
81,0,0,0,4/30/2021
82,0,0,0,5/1/2021
83,0,0,0,5/2/2021
84,0,0,0,5/3/2021
85,0,0,0,5/4/2021
86,0,0,0,5/5/2021
87,0,0,0,5/6/2021
88,0,0,0,5/7/2021
89,0,0,0,5/8/2021
90,0,0,0,5/9/2021
91,0,0,0,5/10/2021
92,0,0,0,5/11/2021
93,0,0,0,5/12/2021
94,0,0,0,5/13/2021
95,0,0,0,5/14/2021
96,0,0,0,5/15/2021
97,0,0,0,5/16/2021
