,Cel,Ach,Dre,Total,Date
0,0,0,0,0,2/8/2021
1,0,0,0,0,2/9/2021
2,0,0,0,0,2/10/2021
3,0,0,0,0,2/11/2021
4,0,0,0,0,2/12/2021
5,0,0,0,0,2/13/2021
6,0,0,0,0,2/14/2021
7,0,0,0,0,2/15/2021
8,0,0,0,0,2/16/2021
9,0,0,0,0,2/17/2021
10,0,0,0,0,2/18/2021
11,0,0,558,558,2/19/2021
12,0,558,558,1116,2/20/2021
13,358,358,358,1074,2/21/2021
14,192,192,749,1133,2/22/2021
15,32,590,590,1212,2/23/2021
16,426,426,426,1278,2/24/2021
17,260,260,260,780,2/25/2021
18,123,123,123,369,2/26/2021
19,123,123,123,369,2/27/2021
20,123,123,123,369,2/28/2021
21,123,123,123,369,3/1/2021
22,123,123,681,927,3/2/2021
23,123,681,681,1485,3/3/2021
24,516,516,516,1548,3/4/2021
25,366,366,923,1655,3/5/2021
26,216,774,774,1764,3/6/2021
27,674,674,674,2022,3/7/2021
28,514,514,514,1542,3/8/2021
29,514,514,514,1542,3/9/2021
30,514,514,514,1542,3/10/2021
31,514,514,514,1542,3/11/2021
32,514,514,514,1542,3/12/2021
33,514,514,1072,2100,3/13/2021
34,514,1072,1072,2658,3/14/2021
35,1072,1072,1072,3216,3/15/2021
36,1072,1072,1629,3773,3/16/2021
37,1072,1629,1629,4330,3/17/2021
38,1629,1629,1629,4887,3/18/2021
39,1629,1629,1629,4887,3/19/2021
40,1629,1629,1629,4887,3/20/2021
41,1629,1629,1629,4887,3/21/2021
42,1629,1629,1629,4887,3/22/2021
43,1629,1629,1629,4887,3/23/2021
44,1629,1629,2187,5445,3/24/2021
45,1629,2187,2187,6003,3/25/2021
46,2187,2187,2187,6561,3/26/2021
47,2187,2187,2745,7119,3/27/2021
48,2187,2745,2745,7677,3/28/2021
49,2745,2745,2745,8235,3/29/2021
50,2745,2745,2745,8235,3/30/2021
51,2745,2745,2745,8235,3/31/2021
52,2745,2745,2745,8235,4/1/2021
53,2745,2745,2745,8235,4/2/2021
54,2745,2745,2745,8235,4/3/2021
55,2745,2745,3302,8792,4/4/2021
56,2745,3302,3302,9349,4/5/2021
57,3302,3302,3302,9906,4/6/2021
58,3302,3302,3860,10464,4/7/2021
59,3302,3860,3860,11022,4/8/2021
60,3860,3860,3860,11580,4/9/2021
61,3860,3860,3860,11580,4/10/2021
62,3860,3860,3860,11580,4/11/2021
63,3860,3860,3860,11580,4/12/2021
64,3860,3860,3860,11580,4/13/2021
65,3860,3860,3860,11580,4/14/2021
66,3860,3860,4417,12137,4/15/2021
67,3860,4417,4417,12694,4/16/2021
68,3860,4417,4417,12694,4/17/2021
69,3860,4417,4417,12694,4/18/2021
70,3860,4417,4417,12694,4/19/2021
71,3860,4417,4417,12694,4/20/2021
72,3860,4417,4417,12694,4/21/2021
73,3860,4417,4417,12694,4/22/2021
74,3860,4417,4417,12694,4/23/2021
75,3860,4417,4417,12694,4/24/2021
76,3860,4417,4417,12694,4/25/2021
77,3860,4417,4417,12694,4/26/2021
78,3860,4417,4417,12694,4/27/2021
79,3860,4417,4417,12694,4/28/2021
80,3860,4417,4417,12694,4/29/2021
81,3860,4417,4417,12694,4/30/2021
82,3860,4417,4417,12694,5/1/2021
83,3860,4417,4417,12694,5/2/2021
84,3860,4417,4417,12694,5/3/2021
85,3860,4417,4417,12694,5/4/2021
86,3860,4417,4417,12694,5/5/2021
87,3860,4417,4417,12694,5/6/2021
88,3860,4417,4417,12694,5/7/2021
89,3860,4417,4417,12694,5/8/2021
90,3860,4417,4417,12694,5/9/2021
91,3860,4417,4417,12694,5/10/2021
92,0,0,0,0,5/11/2021
93,0,0,0,0,5/12/2021
94,0,0,0,0,5/13/2021
95,0,0,0,0,5/14/2021
96,0,0,0,0,5/15/2021
97,0,0,0,0,5/16/2021
