,Key,Value
0,Billable Expense Income,1185.0
2,Sales,60.0
4,6200 Bank Charges & Fees,5478.01
6,6700 Interest Expense,33.85
8,6754 Payroll Processing,171.0
10,6900 Meals & Entertainment,100.11
12,6950 Office Supplies,165.02
14,6951 Office Software,82.17
16,6990 Other Business Expenses,-0.2
18,7200 Rent & Lease-Building Space,22500.0
20,7300 Payroll-Wages,6250.0
22,7301 Payroll-Taxes,-1558.26
24,6350 Depreciation-Machinery & Equipment,1109.06
26,6361 Depreciation-Office Equipment,40.0
