,Key,Value
0,6100 Auto Expense,300.0
2,6200 Bank Charges & Fees,355.78
4,6700 Interest Expense,26.54
6,6752 Legal Services,4000.0
8,6754 Payroll Processing,172.0
10,6900 Meals & Entertainment,497.6
12,6950 Office Supplies,23.16
14,6951 Office Software,263.17
16,7150 Shipping & Postage,172.51
18,7200 Rent & Lease-Building Space,3873.0
20,7201 Leased Equipment,749.18
22,7300 Payroll-Wages,6250.0
24,7301 Payroll-Taxes,837.85
26,7302 Payroll-Benefits,5059.14
28,7305 Guaranteed Payments,12500.0
30,7340 Research & Development,97.96
