,from_lat,from_lon,to_lat,to_lon,From Address,To Address
0,42.7178462,-70.9603211,42.5518126,-71.5659507,68+Tenney+St+Georgetown+MA, 38+Littleton+Rd+Ayer+MA Load(531)
1,42.5518126,-71.5659507,42.5589326,-71.583761, 38+Littleton+Rd+Ayer+MA Load(531), 31+Central+Ave+Ayer+MA Load(525)
2,42.5589326,-71.583761,42.3586426,-71.7834089, 31+Central+Ave+Ayer+MA Load(525), 65+West+Boylston+Street+W+Boylston+MA Load(495)
3,42.3586426,-71.7834089,42.3235833,-71.7987318, 65+West+Boylston+Street+W+Boylston+MA Load(495), 65+Pullman+Street+Worcester+MA Load(195)
4,42.3235833,-71.7987318,42.29781,-71.76453000000001, 65+Pullman+Street+Worcester+MA Load(195), 640+Lincoln+Street+Worcester+MA Load(150)
5,42.29781,-71.76453000000001,42.7178462,-70.9603211, 640+Lincoln+Street+Worcester+MA Load(150),68+Tenney+St+Georgetown+MA
6,42.29781,-71.76453000000001,42.7178462,-70.9603211, 640+Lincoln+Street+Worcester+MA Load(150),68+Tenney+St+Georgetown+MA
0,42.7178462,-70.9603211,42.8457306,-70.9228679,68+Tenney+St+Georgetown+MA, 49+Macy+St+Amesbury+MA Load(600)
1,42.8457306,-70.9228679,42.8437636,-70.8791167, 49+Macy+St+Amesbury+MA Load(600), 107+Elm+St+Salisbury+MA Load(300)
2,42.8437636,-70.8791167,42.7178462,-70.9603211, 107+Elm+St+Salisbury+MA Load(300),68+Tenney+St+Georgetown+MA
3,42.8437636,-70.8791167,42.7178462,-70.9603211, 107+Elm+St+Salisbury+MA Load(300),68+Tenney+St+Georgetown+MA
0,42.7178462,-70.9603211,42.4929904,-70.9348267,68+Tenney+St+Georgetown+MA, 462+Highland+Ave+Salem+MA Load(600)
1,42.4929904,-70.9348267,42.5223503,-70.9108395, 462+Highland+Ave+Salem+MA Load(600), 50+Grove+St+Salem+MA Load(300)
2,42.5223503,-70.9108395,42.7178462,-70.9603211, 50+Grove+St+Salem+MA Load(300),68+Tenney+St+Georgetown+MA
3,42.5223503,-70.9108395,42.7178462,-70.9603211, 50+Grove+St+Salem+MA Load(300),68+Tenney+St+Georgetown+MA
0,42.7178462,-70.9603211,42.5187288,-70.8938867,68+Tenney+St+Georgetown+MA, 3+Dodge+Street+Salem+MA Load(585)
1,42.5187288,-70.8938867,42.3487498,-71.5133227, 3+Dodge+Street+Salem+MA Load(585), 416+Boston+Post+Road+Marlborough+MA Load(525)
2,42.3487498,-71.5133227,42.0870027,-71.437172, 416+Boston+Post+Road+Marlborough+MA Load(525), 5+Forge+Parkway+Franklin+MA Load(300)
3,42.0870027,-71.437172,42.7178462,-70.9603211, 5+Forge+Parkway+Franklin+MA Load(300),68+Tenney+St+Georgetown+MA
4,42.0870027,-71.437172,42.7178462,-70.9603211, 5+Forge+Parkway+Franklin+MA Load(300),68+Tenney+St+Georgetown+MA
0,42.7178462,-70.9603211,42.628566,-70.645259,68+Tenney+St+Georgetown+MA, 38+Great+Republic+Drive+Gloucester+MA Load(550)
1,42.628566,-70.645259,42.206379,-71.7773189, 38+Great+Republic+Drive+Gloucester+MA Load(550), 266+North+Main+Street+Millbury+MA Load(500)
2,42.206379,-71.7773189,42.0632556,-71.6694838, 266+North+Main+Street+Millbury+MA Load(500), 640+Douglas+St+Uxbridge+MA Load(400)
3,42.0632556,-71.6694838,42.3648033,-71.10212179999999, 640+Douglas+St+Uxbridge+MA Load(400), 541+Massachusetts+Ave+Cambridge+MA Load(100)
4,42.3648033,-71.10212179999999,42.7178462,-70.9603211, 541+Massachusetts+Ave+Cambridge+MA Load(100),68+Tenney+St+Georgetown+MA
5,42.3648033,-71.10212179999999,42.7178462,-70.9603211, 541+Massachusetts+Ave+Cambridge+MA Load(100),68+Tenney+St+Georgetown+MA
0,42.7178462,-70.9603211,42.7130673,-70.90772729999999,68+Tenney+St+Georgetown+MA, 300+Newburyport+Turnpike+Rowley+MA Load(225)
1,42.7130673,-70.90772729999999,42.7007649,-70.91114, 300+Newburyport+Turnpike+Rowley+MA Load(225), 116+Newburyport+Turnpike+Rowley+MA Load(165)
2,42.7007649,-70.91114,42.7178462,-70.9603211, 116+Newburyport+Turnpike+Rowley+MA Load(165),68+Tenney+St+Georgetown+MA
3,42.7007649,-70.91114,42.7178462,-70.9603211, 116+Newburyport+Turnpike+Rowley+MA Load(165),68+Tenney+St+Georgetown+MA
