,6100 Auto Expense,6700 Interest Expense,6750 Professional Services,6900 Meals & Entertainment,6950 Office Supplies,6951 Office Software,7600 Travel,6200 Bank Charges & Fees,6010 Advertising & Marketing,6952 Telecommunications,Uncategorized Expense,7150 Shipping & Postage,6752 Legal Services,7200 Rent & Lease-Building Space,6201 Payment Collection Fees,6754 Payroll Processing,7300 Payroll-Wages,7301 Payroll-Taxes,6990 Other Business Expenses,6350 Depreciation-Machinery & Equipment,6361 Depreciation-Office Equipment,6751 Accounting Services,7305 Guaranteed Payments,8000 Other Expense,Sales of Product Income,7302 Payroll-Benefits,7340 Research & Development,6800 Taxes & Licenses,6753 Consultants,7300.1 Payroll-Bonus,6780 Recruiting,7201 Leased Equipment,6011 Operating Supplies,6012 Packaging Supplies,7500 Utilities,6755 IT Consulting,6102 Auto Expense-Registrations & Fees,6650 Insurance-General Liability,6651 Insurance-Workers Comp,6850 Repairs & Maintenance-Building,6853 Repairs & Maintenance-Grounds,9852 Repairs & Maintenance-Fleet,4020 Revenue-Product line #2
01/2018,77.0,170.69,18000.0,339.73,59.35,40.75,1757.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/2018,0.0,0.0,0.0,0.0,0.0,40.75,0.0,315.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/2018,0.0,246.23,8000.0,50.26,31.88,40.75,0.0,508.36,171.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/2018,39.0,236.76,0.0,219.65,0.0,31.88,0.0,115.37,107.69,40.75,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/2018,0.0,254.5,0.0,310.96,0.0,44.83,83.0,0.0,0.0,40.75,0.0,155.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/2018,0.0,252.91,0.0,67.02,0.0,55.77,41.0,90.29,0.0,40.75,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/2018,0.0,273.62,16896.2,0.0,0.0,72.45,0.0,91.73,0.0,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/2018,0.0,264.85,3203.6,0.0,0.0,76.7,0.0,115.62,0.0,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/2018,0.0,105.76,47311.83,119.02,0.0,63.75,0.0,287.1,7166.71,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/2018,178.0,0.0,0.0,768.75,125.75,76.7,568.37,194.32,0.0,0.0,11271.8,0.0,0.0,0.0,7.44,87.0,3125.0,870.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/2018,0.0,33.85,0.0,100.11,165.02,82.17,0.0,5478.01,0.0,0.0,0.0,0.0,0.0,22500.0,0.0,171.0,6250.0,1558.26,0.2,1109.06,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
