,Dispensary,Street,Town,Cases,Address
0,Apothca (All),99 Development Rd,Fitchburg,0,99+Development+Rd+Fitchburg+MA
1,Garden Remedies - ALL,307 Airport Road,Fitchburg,0,307+Airport+Road+Fitchburg+MA
2,Apotho Therapeutics,119 Washington St,Plainville,0,119+Washington+St+Plainville+MA
3,Alternative Compassion Services,693 Elm St,Bridgewater,0,693+Elm+St+Bridgewater+MA
4,b\well,220 Commercial Street,Provincetown,0,220+Commercial+Street+Provincetown+MA
5,Happy Valley,38 Great Republic Drive,Gloucester,0,38+Great+Republic+Drive+Gloucester+MA
6,Alternative Therapies Group (Salem),50 Grove Street,Salem,0,50+Grove+Street+Salem+MA
7,Ascend Wellness,272 Friend Street,Boston,0,272+Friend+Street+Boston+MA
8,Alternative Therapies Group (Amesbury),49 Macy Street,Amesbury,0,49+Macy+Street+Amesbury+MA
9,Alternative Therapies Group (Salisbury),107 Elm Street,Salisbury,0,107+Elm+Street+Salisbury+MA
10,Bask,2 Pequod Rd,Fairhaven,0,2+Pequod+Rd+Fairhaven+MA
11,Bloom Brothers,2 Larch St,Pittsfield,0,2+Larch+St+Pittsfield+MA
12,The Botanist (Shrewsbury),235 Hartford Turnpike,Shrewsbury,0,235+Hartford+Turnpike+Shrewsbury+MA
13,The Botanist (Worcester),65 Pullman Street,Worcester,0,65+Pullman+Street+Worcester+MA
14,Buds & Roses,199 Main St,Blackstone,0,199+Main+St+Blackstone+MA
15,Campfire Cannabis,65 West Boylston Street,W Boylston,0,65+West+Boylston+Street+W+Boylston+MA
16,Cannabis Connection,40 Westfield Industrial Park Rd,Westfield,0,40+Westfield+Industrial+Park+Rd+Westfield+MA
17,Canna Provisions - Holyoke,380 Dwight Street,Holyoke,0,380+Dwight+Street+Holyoke+MA
18,Canna Vana,256 Weymouth Street,Rockland,0,256+Weymouth+Street+Rockland+MA
19,Cape Ann Cannabis,300 Newburyport Turnpike,Rowley,0,300+Newburyport+Turnpike+Rowley+MA
20,Cape Cod Cannabis,1446 State Hwy Route 6,Welfleet,0,1446+State+Hwy+Route+6+Welfleet+MA
21,Caroline's Cannabis,640 Douglas Street,Uxbridge,0,640+Douglas+Street+Uxbridge+MA
22,CNA,558 River St,Haverhill,0,558+River+St+Haverhill+MA
23,Cultivate, 612 Douglas St,Uxbridge,0,+612+Douglas+St+Uxbridge+MA
24,DDM,1 Lloyd St,Blackstone,0,1+Lloyd+St+Blackstone+MA
25,Elevated Roots,44 William C Gould Jr Way,Kingston,30,44+William+C+Gould+Jr+Way+Kingston+MA
26,Ermont,216 Ricciuti Dr,Quincy,0,216+Ricciuti+Dr+Quincy+MA
27,Farnsworth Fine Cannabis,126 Main St,Great Barrington,0,126+Main+St+Great+Barrington+MA
28,Fine Fettle,116 Newburyport Turnpike,Rowley,15,116+Newburyport+Turnpike+Rowley+MA
29,Full Harvest Moonz,95 Plaistow Rd,Haverhill,0,95+Plaistow+Rd+Haverhill+MA
30,Garden Remedies - Marlboro,416 Boston Post Rd E,Marlboro,38,416+Boston+Post+Rd+E+Marlboro+MA
31,Garden Remedies - Melrose,732 Newburyport Turnpike,Melrose,47,732+Newburyport+Turnpike+Melrose+MA
32,Garden Remedies - Newton,697 Washington St,Newton,71,697+Washington+St+Newton+MA
33,Garden Wonders,1 Buxton St,Milville,0,1+Buxton+St+Milville+MA
34,Green 4 All,327 N Pearl St,Brockton,0,327+N+Pearl+St+Brockton+MA
35,Green Meadows,64 Mill St,Southbridge,0,64+Mill+St+Southbridge+MA
36,Green Star - Dracut,19 School St,Dracut,0,19+School+St+Dracut+MA
37,Green Star - Maynard,24 Main St,Maynard,0,24+Main+St+Maynard+MA
38,Health Circle,21 Commerce Rd,Rockland,21,21+Commerce+Rd+Rockland+MA
39,Heirloom Collective,457 Russell St,Hadley,0,457+Russell+St+Hadley+MA
40,The Hempist,2 Conz St,Northampton,0,2+Conz+St+Northampton+MA
41,In Good Health,"1200 W Chestnut St,",Brockton,0,"1200+W+Chestnut+St,+Brockton+MA"
42,INSA (Easthampton),"122 Pleasant Street, Suite 144",Eathampton,0,"122+Pleasant+Street,+Suite+144+Eathampton+MA"
43,INSA (Salem),462 Highland Ave,Salem,0,462+Highland+Ave+Salem+MA
44,Lazy River,149 Broadway Rd,Dracut,0,149+Broadway+Rd+Dracut+MA
45,Major Bloom,76 Millbury Street,Worcester,0,76+Millbury+Street+Worcester+MA
46,Middlesex Integrative Medicine,76 Astor Ave,Norwood,0,76+Astor+Ave+Norwood+MA
47,Mission Georgetown,401 East Main Street,Georgetown,0,401+East+Main+Street+Georgetown+MA
48,Mission Worcester,640 Lincoln Street,Worcester,24,640+Lincoln+Street+Worcester+MA
49,Native Sun,37 Coolidge St,Hudson,0,37+Coolidge+St+Hudson+MA
50,Nature’s Remedy (Millbury),266 North Main Street,Millbury,0,266+North+Main+Street+Millbury+MA
51,Nature's Remedy (Tyngsborough),420 Middlesex Road,Tyngsborough,0,420+Middlesex+Road+Tyngsborough+MA
52,Northeast Alternatives,999 William S Canning Blvd,Fall River,0,999+William+S+Canning+Blvd+Fall+River+MA
53,Panacea Wellness,177 John Verente Blvd,New Bedford,0,177+John+Verente+Blvd+New+Bedford+MA
54,The Pass,1375 N Main Street,Sheffield,0,1375+N+Main+Street+Sheffield+MA
55,Pure Oasis,430 Blue Hill Avenue,Dorchester,0,430+Blue+Hill+Avenue+Dorchester+MA
56,Patriot Care Lowell,70 Industrial Ave E,Lowell,0,70+Industrial+Ave+E+Lowell+MA
57,Patriot Care Greenfield,7 Legion Ave,Greenfield,0,7+Legion+Ave+Greenfield+MA
58,Rebelle,783 S Main St,Great Barrington,0,783+S+Main+St+Great+Barrington+MA
59,Redi,24 Elliot Street,Newton,0,24+Elliot+Street+Newton+MA
60,Resinate (Northampton),110 Pleasant Street,Northampton,0,110+Pleasant+Street+Northampton+MA
61,Resinate (Worcester),1191 Millbury Street,Worcester,0,1191+Millbury+Street+Worcester+MA
62,Rev Clinics,110 Fawcett Street,Cambridge,0,110+Fawcett+Street+Cambridge+MA
63,RISE,169 Meadow Street,Amherst,0,169+Meadow+Street+Amherst+MA
64,Seagrass,3 Dodge Street,Salem,0,3+Dodge+Street+Salem+MA
65,STEM,124 Washington Street,Haverhill,0,124+Washington+Street+Haverhill+MA
66,Sunnyside,1 West St,Fall River,0,1+West+St+Fall+River+MA
67,Tuning Leaf,261 King St,Northampton,0,261+King+St+Northampton+MA
68,United Cultivation,601 Fitchburg State Rd,Ashby,0,601+Fitchburg+State+Rd+Ashby+MA
69,Verilife,112 Main Street,Wareham,0,112+Main+Street+Wareham+MA
70,Marimed,29 Harding Street,Middleborough,0,29+Harding+Street+Middleborough+MA
71,Central Ave Compassionate Care,31 Central Ave,Ayer,18,31+Central+Ave+Ayer+MA
