,Cel,Ach,Dre,Total,Date
0,0,0,0,0,1/16/2021
1,0,0,0,0,1/17/2021
2,0,0,0,0,1/18/2021
3,0,0,0,0,1/19/2021
4,0,0,0,0,1/20/2021
5,0,0,0,0,1/21/2021
6,0,0,0,0,1/22/2021
7,0,0,0,0,1/23/2021
8,0,0,0,0,1/24/2021
9,0,0,0,0,1/25/2021
10,0,0,0,0,1/26/2021
11,0,0,0,0,1/27/2021
12,0,0,0,0,1/28/2021
13,0,0,0,0,1/29/2021
14,0,0,0,0,1/30/2021
15,0,0,0,0,1/31/2021
16,0,0,0,0,2/1/2021
17,0,0,0,0,2/2/2021
18,0,0,0,0,2/3/2021
19,0,284,0,284,2/4/2021
20,321,284,0,605,2/5/2021
21,321,284,0,605,2/6/2021
22,321,284,0,605,2/7/2021
23,321,553,0,874,2/8/2021
24,730,553,0,1283,2/9/2021
25,1093,681,0,1774,2/10/2021
26,1093,1124,0,2217,2/11/2021
27,1093,1124,0,2217,2/12/2021
28,1093,1124,0,2217,2/13/2021
29,1093,1124,0,2217,2/14/2021
30,1093,1124,0,2217,2/15/2021
31,205,226,0,431,2/16/2021
32,205,226,0,431,2/17/2021
33,205,226,0,431,2/18/2021
34,205,226,429,860,2/19/2021
35,205,226,429,860,2/20/2021
36,205,226,429,860,2/21/2021
37,60,81,627,768,2/22/2021
38,60,81,462,603,2/23/2021
39,99,109,677,885,2/24/2021
40,87,97,502,686,2/25/2021
41,44,48,386,478,2/26/2021
42,44,48,386,478,2/27/2021
43,44,48,386,478,2/28/2021
44,44,48,386,478,3/1/2021
45,6,10,298,314,3/2/2021
46,6,10,188,204,3/3/2021
47,6,10,188,204,3/4/2021
48,6,10,188,204,3/5/2021
49,6,10,188,204,3/6/2021
50,6,10,188,204,3/7/2021
51,6,10,188,204,3/8/2021
52,898,902,188,1988,3/9/2021
53,898,902,188,1988,3/10/2021
54,898,902,188,1988,3/11/2021
55,898,902,188,1988,3/12/2021
56,898,902,188,1988,3/13/2021
57,898,902,188,1988,3/14/2021
58,898,902,188,1988,3/15/2021
59,898,902,188,1988,3/16/2021
60,898,902,188,1988,3/17/2021
61,898,902,188,1988,3/18/2021
62,898,902,188,1988,3/19/2021
63,898,902,188,1988,3/20/2021
64,898,902,188,1988,3/21/2021
65,898,902,188,1988,3/22/2021
66,898,902,188,1988,3/23/2021
67,898,902,188,1988,3/24/2021
68,898,902,188,1988,3/25/2021
69,898,902,188,1988,3/26/2021
70,898,902,188,1988,3/27/2021
71,898,902,188,1988,3/28/2021
72,898,902,188,1988,3/29/2021
73,898,902,188,1988,3/30/2021
74,898,902,188,1988,3/31/2021
75,898,902,188,1988,4/1/2021
76,898,902,188,1988,4/2/2021
77,898,902,188,1988,4/3/2021
78,898,902,188,1988,4/4/2021
79,898,902,188,1988,4/5/2021
80,898,902,188,1988,4/6/2021
81,898,902,188,1988,4/7/2021
82,898,902,188,1988,4/8/2021
83,898,902,188,1988,4/9/2021
84,898,902,188,1988,4/10/2021
85,898,902,188,1988,4/11/2021
86,898,902,188,1988,4/12/2021
87,898,902,188,1988,4/13/2021
88,898,902,188,1988,4/14/2021
89,898,902,188,1988,4/15/2021
90,898,902,188,1988,4/16/2021
91,898,902,188,1988,4/17/2021
92,898,902,188,1988,4/18/2021
93,898,902,188,1988,12/31/1899
94,898,902,188,1988,12/31/1899
95,898,902,188,1988,12/31/1899
96,898,902,188,1988,12/31/1899
97,898,902,188,1988,12/31/1899
98,898,902,188,1988,12/31/1899
99,898,902,188,1988,12/31/1899
