license_number,application_number,business_name,license_type,application_fee,lic_fee_amount,dbe,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_city,business_state,business_zipcode,mailing_address_1,mailing_city,mailing_state,mailing_zipcode,establishment_address_1,establishment_city,establishment_state,establishment_zip_code,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,app_create_date,geocoded_column,:@computed_region_4aer_mww6,activity_date,version,Address,lon,lat,town_pop,Distance
MR281680,MRN281680,"I.N.S.A., Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,122 Pleasant Street,Easthampton,MA,1027,122 Pleasant Street,Easthampton,MA,1027,122 Pleasant Street,Easthampton,MA,1027,88000,5,Yes,1309430,2018-07-02T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.66216097999995, 42.27338200500003]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,122+Pleasant+Street+Easthampton+MA,-72.662218,42.273327,16053,208
MR281471,MRN281471,"Atlantic Medicinal Partners, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,329 Washington Street,Woburn,MA,1801,329 Washington Street,Woburn,MA,1801,774 Crawford Street,Fitchburg,MA,1420,50000,73,Yes,1338407,2018-05-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.74930701599999, 42.55039598400003]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,329+Washington+Street+Woburn+MA,-71.1243576,42.4961983,38120,41
MR282730,MRN282730,"Apothca, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,99 Development Rd,Fitchburg,MA,1420,99 Development Rd,Fitchburg,MA,1420,1386 Massachusetts Ave,Arlington,MA,2476,1800,49,Yes,1177859,2019-05-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.18471802699997, 42.424399006000044]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,99+Development+Rd+Fitchburg+MA,-71.859526,42.551172,40318,88
MR281867,MRN281867,HAMPSHIRE HEMP LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,371 DAMON ROAD,NORTHAMPTON,MA,1060,28 APPLETON ST,HOLYOKE,MA,1040,371-391 Damon Road,Northampton,MA,1060,2500,10,Yes,1327557,2018-09-06T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.62187403299998, 42.33427200600005]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,371+DAMON+ROAD+NORTHAMPTON+MA,-72.621936,42.3347147,28549,214
MR282703,MRN282703,HOLYOKE 420 LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,100 STATE STREET,BOSTON,MA,2109,380 Dwight Street,Holyoke,MA,1040,380 Dwight Street,Holyoke,MA,1040,1600,10,Yes,1376296,2019-05-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.60460798299994, 42.20472101700006]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,100+STATE+STREET+BOSTON+MA,-71.0550464,42.3592928,617594,56.7
MR282131,MRN282131,Caregiver-Patient Connection LLC,Marijuana Retailer,300,5000,Woman-Owned Business,FINAL LICENSE,RMD PRIORITY,APPROVED,1,371 Lunenburg St,Fitchburg,MA,1420,"910 Boston Post Rd., Ste.#910",Marlboro,MA,1752,371 Lunenburg St.,Fitchburg,MA,1420,2000,13,Yes,1332702,2018-12-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.77225297899997, 42.58566598500005]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,371+Lunenburg+St+Fitchburg+MA,-71.7722337,42.5856584,40318,83.9
MR281458,MRN281458,"berkley botanicals, llc",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,44 county street,berkley,MA,2779,13 Bay Rd.,Warren,RI,2885,44 county street,Berkley,MA,2779,24000,12,Yes,1363351,2018-05-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.01924400399997, 41.84230898100003]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,44+county+street+berkley+MA,-71.019036,41.842515,6411,113
MR281282,MRN281282,Patriot Care Corp,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,7 Legion Avenue,Greenfield,MA,1301,321 Billerica Road,Chelmsford,MA,1824,7 Legion Avenue,Greenfield,MA,1301,6800,55,Yes,463348302,2018-04-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.60417002799994, 42.58920298100003]}",7,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,7+Legion+Avenue+Greenfield+MA,-72.6042597,42.589177,17456,159
MR282837,MRN282837,"Ascend Mass, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,500 Totten Pond Road,Waltham,MA,2451,500 Totten Pond Road,Waltham,MA,2451,1089 Washington Street,Newton,MA,2465,4990,41,Yes,1325437,2019-07-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.21794196399998, 42.350173985000026]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,500+Totten+Pond+Road+Waltham+MA,-71.2591155,42.3964732,60632,59.3
MR283165,MRN283165,Ten-Ten LLC,Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,775 N. Main St,Sheffield,MA,1257,54 Nelson Ave Ext,Saratoga Springs,NY,12866,775 N. Main St,Sheffield,MA,1257,6000,10,Yes,1347065,2019-12-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.36138101899996, 42.125702008000076]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,775+N.+Main+St+Sheffield+MA,-73.3612447,42.1254972,3257,275
MR282740,MRN282740,"Ganesh Wellness, Inc.",Marijuana Retailer,300,10000,Minority-Owned Business | Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,47 High Street,Medford,MA,2155,65 West Boylston St,West Boylston,MA,1583,238 Lafayette Road,Salisbury,MA,1952,3880,14,Yes,1429524,2019-05-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.86908204099996, 42.87147601700008]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,47+High+Street+Medford+MA,-71.1110348,42.418744,56173,49.3
MR282467,MRN282467,"The Old Bank, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,10 Main Street,Wellfleet,MA,2667,PO Box 2157,Wellfleet,MA,2667,10 Main Street,Wellfleet,MA,2666,1200,6,Yes,1367968,2019-03-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.02198402299996, 41.93745498200008]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,10+Main+Street+Wellfleet+MA,-70.0220059,41.937447,2750,210
MR281754,MRN281754,"Healthy Pharms, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,401 E. Main St.,Georgetown,MA,1833,401 E. Main St.,Georgetown,MA,1833,401 E. Main Street,Georgetown,MA,1833,65580,11,No,1341905,2018-07-28T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.96195503599995, 42.70662099700007]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,401+E.+Main+St.+Georgetown+MA,-70.9619244,42.7064457,8183,3.2
MR282618,MRN282618,Lynn Organics LLC,Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,One International Place,Boston,MA,2110,20 Authority Drive,Fitchuburg,MA,1420,193-195 Oxford Street,Lynn,MA,1901,3936,5,Yes,1340870,2019-04-18T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.94732917699997, 42.46330919800005]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,One+International+Place+Boston+MA,-71.0522839,42.3559813,617594,57.1
MR283367,MRN283367,"New England Craft Cultivators, LLC",Marijuana Retailer,1500,10000,"Lesbian, Gay, Bisexual, and Transgender Owned Business",PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,12 Robeson Street,Jamaica Plain,MA,2130,113 George Street,Boston,MA,2119,112-114 Main Street,Pepperell,MA,1463,1050,19,Yes,1380107,2020-03-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.57860503099994, 42.66517298900004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,12+Robeson+Street+Jamaica+Plain+MA,-71.1018897,42.309801,0,56.1
